"pkg" "type" "Exp" "N" "X" "Sd_eff" "Sd_res" "PropSigM" "NbPaths" "NbSigPaths" "AvgRSq" "PropCond" "PropSigPaths"
"lavaan" "complex" 643 20 10 2.5 1 0.57 3000 1458 0.842548451561609 0.0560685741080983 0.486
"lavaan" "complex" 647 40 10 2.5 1 0.86 3000 1453 0.860703426034463 0.0461340303367831 0.484333333333333
"lavaan" "complex" 651 60 10 2.5 1 0.85 3000 1498 0.856069670138961 0.0480958319566645 0.499333333333333
"lavaan" "complex" 655 80 10 2.5 1 0.89 3000 1624 0.844174409716391 0.0542712867727338 0.541333333333333
"lavaan" "complex" 659 100 10 2.5 1 0.85 3000 1600 0.859407013894658 0.0442655224593238 0.533333333333333
"lavaan" "complex" 723 20 5 5 1 0.86 700 413 0.891126922956438 0.0525 0.59
"lavaan" "complex" 727 40 5 5 1 0.9 700 416 0.880620481847768 0.035 0.594285714285714
"lavaan" "complex" 731 60 5 5 1 0.9 700 443 0.883958723609148 0.0916666666666667 0.632857142857143
"lavaan" "complex" 735 80 5 5 1 0.88 700 398 0.900004043682782 0.0416666666666667 0.568571428571429
"lavaan" "complex" 739 100 5 5 1 0.95 700 444 0.876735808368463 0.0366666666666667 0.634285714285714
"lavaan" "complex" 743 20 7 5 1 0.81 1400 765 0.89504330541955 0.0510992063492063 0.546428571428571
"lavaan" "complex" 747 40 7 5 1 0.82 1400 764 0.899947266633093 0.0413968253968254 0.545714285714286
"lavaan" "complex" 751 60 7 5 1 0.88 1400 763 0.91181835186304 0.0361753246753247 0.545
"lavaan" "complex" 755 80 7 5 1 0.87 1400 789 0.917794664396291 0.0403650793650794 0.563571428571429
"lavaan" "complex" 759 100 7 5 1 0.87 1400 791 0.908879294929478 0.0463455988455988 0.565
"lavaan" "complex" 763 20 10 5 1 0.57 3000 1379 0.914399679812934 0.040407291794743 0.459666666666667
"lavaan" "complex" 767 40 10 5 1 0.85 3000 1432 0.93595427851765 0.0482510499993169 0.477333333333333
"lavaan" "complex" 771 60 10 5 1 0.82 3000 1470 0.922590449232338 0.0527285924840777 0.49
"lavaan" "complex" 775 80 10 5 1 0.92 3000 1523 0.929056141743501 0.0421591832988656 0.507666666666667
"lavaan" "complex" 779 100 10 5 1 0.87 3000 1457 0.917035844492868 0.044726687188987 0.485666666666667
"lavaan" "complex" 859 20 5 1 2 0.9 700 296 0.354756906651117 0.0433333333333333 0.422857142857143
"lavaan" "complex" 864 40 5 1 2 0.88 700 328 0.443903198397995 0.0516666666666667 0.468571428571429
"lavaan" "complex" 869 60 5 1 2 0.9 700 344 0.394233579376749 0.0533333333333333 0.491428571428571
"lavaan" "complex" 874 80 5 1 2 0.92 700 366 0.361542017464573 0.0383333333333333 0.522857142857143
"lavaan" "complex" 879 100 5 1 2 0.92 700 348 0.339509798596875 0.0475 0.497142857142857
"lavaan" "complex" 884 20 7 1 2 0.86 1400 573 0.470465260744271 0.0573730158730159 0.409285714285714
"lavaan" "complex" 889 40 7 1 2 0.92 1400 579 0.437969940098457 0.0440833333333333 0.413571428571429
"lavaan" "complex" 894 60 7 1 2 0.93 1400 645 0.451680070445799 0.0537896825396825 0.460714285714286
"lavaan" "complex" 899 80 7 1 2 0.88 1400 677 0.447198594020642 0.0518502886002886 0.483571428571429
"lavaan" "complex" 904 100 7 1 2 0.93 1400 695 0.447113900141835 0.0518228715728716 0.496428571428571
"lavaan" "complex" 909 20 10 1 2 0.58 3000 1153 0.537606001949728 0.0465465443967598 0.384333333333333
"lavaan" "complex" 914 40 10 1 2 0.83 3000 1231 0.539325614891328 0.0547978317393111 0.410333333333333
"lavaan" "complex" 919 60 10 1 2 0.9 3000 1329 0.538365964188543 0.058383221092334 0.443
"lavaan" "complex" 924 80 10 1 2 0.94 3000 1379 0.523060996847689 0.04628894242601 0.459666666666667
"lavaan" "complex" 929 100 10 1 2 0.95 3000 1423 0.535649084140979 0.0586694808593987 0.474333333333333
"lavaan" "complex" 993 20 5 2.5 2 0.91 700 359 0.625646115879564 0.0433333333333333 0.512857142857143
"lavaan" "complex" 997 40 5 2.5 2 0.88 700 369 0.641297439462351 0.0483333333333333 0.527142857142857
"lavaan" "complex" 1001 60 5 2.5 2 0.93 700 414 0.617544656427319 0.0608333333333333 0.591428571428571
"lavaan" "complex" 1005 80 5 2.5 2 0.82 700 404 0.612523784823355 0.04 0.577142857142857
"lavaan" "complex" 1009 100 5 2.5 2 0.94 700 419 0.636265731435397 0.0308333333333333 0.598571428571429
"lavaan" "complex" 1013 20 7 2.5 2 0.79 1400 677 0.659217664891513 0.0491035353535354 0.483571428571429
"lavaan" "complex" 1017 40 7 2.5 2 0.89 1400 713 0.693244199561526 0.0499888167388167 0.509285714285714
"lavaan" "complex" 1021 60 7 2.5 2 0.88 1400 743 0.66693813646957 0.0451244588744589 0.530714285714286
"lavaan" "complex" 1025 80 7 2.5 2 0.87 1400 769 0.667499462276701 0.0634256854256854 0.549285714285714
"lavaan" "complex" 1029 100 7 2.5 2 0.93 1400 789 0.660775353747163 0.0519289321789322 0.563571428571429
"lavaan" "complex" 1033 20 10 2.5 2 0.62 3000 1389 0.763463092347844 0.0500722196156844 0.463
"lavaan" "complex" 1037 40 10 2.5 2 0.83 3000 1380 0.755942877828936 0.0485494068621138 0.46
"lavaan" "complex" 1041 60 10 2.5 2 0.89 3000 1529 0.7451830408355 0.051305522421746 0.509666666666667
"lavaan" "complex" 1045 80 10 2.5 2 0.85 3000 1510 0.725017694012565 0.0504629030505696 0.503333333333333
"lavaan" "complex" 1049 100 10 2.5 2 0.84 3000 1528 0.771110700479909 0.0600713839207412 0.509333333333333
"lavaan" "complex" 1113 20 5 5 2 0.85 700 389 0.809842153555701 0.0483333333333333 0.555714285714286
"lavaan" "complex" 1117 40 5 5 2 0.88 700 418 0.760471452049247 0.0541666666666667 0.597142857142857
"lavaan" "complex" 1121 60 5 5 2 0.92 700 407 0.791892569121128 0.0575 0.581428571428571
"lavaan" "complex" 1125 80 5 5 2 0.9 700 435 0.797709562492264 0.0716666666666667 0.621428571428571
"lavaan" "complex" 1129 100 5 5 2 0.96 700 421 0.814135610741855 0.0458333333333333 0.601428571428571
"lavaan" "complex" 1133 20 7 5 2 0.85 1400 738 0.800233473574838 0.044025974025974 0.527142857142857
"lavaan" "complex" 1137 40 7 5 2 0.93 1400 764 0.798624258337894 0.031968253968254 0.545714285714286
"lavaan" "complex" 1141 60 7 5 2 0.86 1400 743 0.810164134700804 0.0503650793650794 0.530714285714286
"lavaan" "complex" 1145 80 7 5 2 0.88 1400 780 0.812795464233831 0.0631168831168831 0.557142857142857
"lavaan" "complex" 1149 100 7 5 2 0.91 1400 791 0.812218404517762 0.0534920634920635 0.565
"lavaan" "complex" 1153 20 10 5 2 0.57 3000 1391 0.858618335515328 0.0629793049607796 0.463666666666667
"lavaan" "complex" 1157 40 10 5 2 0.88 3000 1385 0.867381000445159 0.0613922386018731 0.461666666666667
"lavaan" "complex" 1161 60 10 5 2 0.86 3000 1502 0.868776485067936 0.0456694933165925 0.500666666666667
"lavaan" "complex" 1165 80 10 5 2 0.89 3000 1538 0.844791122335973 0.0468073035753376 0.512666666666667
"lavaan" "complex" 1169 100 10 5 2 0.87 3000 1566 0.862434110546598 0.0500162113559105 0.522
"lavaan" "simple" 80 20 5 1 0.5 0.29 700 482 0.80284836489314 0.376666666666667 0.688571428571429
"lavaan" "simple" 85 40 5 1 0.5 0.21 700 540 0.804618630110442 0.5125 0.771428571428571
